url	reason
https://doi.org/10.1080/07303084.1993.10606684	## [ingest] https://doi.org/10.1080/07303084.1993.10606684: FetchError: HTTP Error 403: Forbidden - 2026-09-01T05:32:51Z
https://cancercontrol.cancer.gov/sites/default/files/2020-06/goal_intent_attain.pdf	## [ingest] https://cancercontrol.cancer.gov/sites/default/files/2020-06/goal_intent_attain.pdf: FetchError: content type 'application/pdf' is not accepted - 2026-09-01T05:33:53Z
https://doi.org/10.1002/ejsp.674	## [ingest] https://doi.org/10.1002/ejsp.674: FetchError: HTTP Error 403: Forbidden - 2026-09-01T05:33:55Z
https://doi.org/10.1080/13548506.2011.555774	## [ingest] https://doi.org/10.1080/13548506.2011.555774: FetchError: HTTP Error 403: Forbidden - 2026-09-01T05:33:59Z
https://dl.acm.org/doi/10.1145/2702123.2702230	## [ingest] https://dl.acm.org/doi/10.1145/2702123.2702230: FetchError: HTTP Error 403: Forbidden - 2026-09-01T05:33:59Z
https://dl.acm.org/doi/10.1145/2556288.2557079	## [ingest] https://dl.acm.org/doi/10.1145/2556288.2557079: FetchError: HTTP Error 403: Forbidden - 2026-09-01T05:33:59Z
https://doi.org/10.1007/s12160-009-9118-3	## [ingest] https://doi.org/10.1007/s12160-009-9118-3: FetchError: HTTP Error 403: Forbidden - 2026-09-01T05:33:59Z
https://doi.org/10.1016/j.jcps.2009.08.003	## [ingest] https://doi.org/10.1016/j.jcps.2009.08.003: FetchError: HTTP Error 403: Forbidden - 2026-09-01T05:34:00Z
https://doi.org/10.1037/0022-3514.81.5.946	## [ingest] https://doi.org/10.1037/0022-3514.81.5.946: FetchError: HTTP Error 403: Forbidden - 2026-09-01T05:34:04Z
https://doi.org/10.1145/3660339	## [ingest] https://doi.org/10.1145/3660339: FetchError: HTTP Error 403: Forbidden - 2026-09-01T05:34:05Z
https://doi.org/10.1145/3663547.3746324	## [ingest] https://doi.org/10.1145/3663547.3746324: FetchError: HTTP Error 403: Forbidden - 2026-09-01T05:34:05Z
https://developer.apple.com/tutorials/data/documentation/healthkit/hkworkout.json	## [ingest] https://developer.apple.com/tutorials/data/documentation/healthkit/hkworkout.json: FetchError: content type 'application/json' is not accepted - 2026-09-01T05:34:17Z
https://wger.de/api/v2/license/?format=json	## [ingest] https://wger.de/api/v2/license/?format=json: FetchError: content type 'application/json' is not accepted - 2026-09-01T05:34:25Z
https://api.hevyapp.com/docs/swagger-ui-init.js	## [ingest] https://api.hevyapp.com/docs/swagger-ui-init.js: FetchError: content type 'application/javascript' is not accepted - 2026-09-01T05:34:26Z
